k,rep,target_R,min_target_allocation,max_target_allocation,has_negative_target_allocation,max_allocation_error,max_transfer_error,corner_error,pot_conservation_error,planted_zero_sum_error
2,21,0.9982749063381016,-0.49827490633810145,1.4982749063381013,True,6.661338147750939e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,0.0
2,22,0.6572482836604303,-0.1572482836604303,1.1572482836604303,True,4.718447854656915e-16,4.440892098500626e-16,0.0,0.0,0.0
2,23,0.9130417008104815,-0.41304170081048164,1.4130417008104816,True,6.106226635438361e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.0
2,24,0.7528672703344821,-0.25286727033448186,1.252867270334482,True,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.0,3.3306690738754696e-16
2,25,0.23722629618421603,0.2627737038157841,0.7372262961842162,False,2.220446049250313e-16,1.6653345369377348e-16,0.0,0.0,2.220446049250313e-16
2,26,0.5478102994470947,-0.047810299447094584,1.0478102994470948,True,2.983724378680108e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16
2,27,0.2973811483691387,0.20261885163086135,0.7973811483691386,False,2.220446049250313e-16,2.7755575615628914e-16,0.0,0.0,5.551115123125783e-17
2,28,0.9694891637736021,-0.46948916377360217,1.469489163773602,True,8.881784197001252e-16,8.881784197001252e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16
2,29,0.7899324468792916,-0.28993244687929165,1.2899324468792916,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.0
2,30,0.37798719532068664,0.12201280467931336,0.8779871953206866,False,2.3592239273284576e-16,2.220446049250313e-16,0.0,0.0,0.0
2,31,0.05531306862641974,0.4446869313735803,0.5553130686264197,False,1.1102230246251565e-16,1.3877787807814457e-16,0.0,0.0,0.0
2,32,0.09404341893849963,0.4059565810615004,0.5940434189384997,False,5.551115123125783e-17,4.163336342344337e-17,0.0,0.0,2.7755575615628914e-17
2,33,0.918422281562878,-0.41842228156287764,1.4184222815628784,True,1.1102230246251565e-15,9.992007221626409e-16,0.0,2.220446049250313e-16,6.661338147750939e-16
2,34,0.9273843710588016,-0.42738437105880156,1.4273843710588014,True,6.661338147750939e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,0.0
2,35,0.9465615485440354,-0.4465615485440353,1.4465615485440355,True,8.881784197001252e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16
2,36,0.8603666659034523,-0.36036666590345234,1.3603666659034523,True,4.996003610813204e-16,4.440892098500626e-16,0.0,0.0,0.0
2,37,0.7512315405045954,-0.2512315405045953,1.2512315405045955,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16
2,38,0.587505607826028,-0.08750560782602801,1.087505607826028,True,3.608224830031759e-16,3.3306690738754696e-16,0.0,0.0,0.0
2,39,0.2185242775882974,0.28147572241170254,0.7185242775882974,False,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,5.551115123125783e-17
2,40,0.23284725023702024,0.26715274976297976,0.7328472502370202,False,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0
2,41,0.4891884145848375,0.010811585415162417,0.9891884145848375,False,3.3306690738754696e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,5.551115123125783e-17
