audit_id,dataset_index,target,mlp_median_D_over_s,mlp_median_H_over_s,mlp_median_chi,mlp_visible_seed_count,mlp_material_seed_count,mlp_fc_seed_count,crossnet_median_D_over_s,crossnet_median_H_over_s,crossnet_median_chi,crossnet_visible_seed_count,crossnet_material_seed_count,crossnet_fc_seed_count,delta_H_mlp_minus_crossnet,delta_D_mlp_minus_crossnet,shared_fc_any
20,9519,1.089,0.2864084614816756,2.659835811227216,0.8965126262734917,0,5,0,0.545463744691367,1.5891103535013376,0.6987262593708204,0,5,0,1.0707254577258782,-0.25905528320969146,False
21,2993,1.098,0.0289799498454626,0.0745199446037804,0.7136062143170129,0,4,0,0.0064531471766136,0.0113039507413196,0.6382875140117757,5,0,0,0.06321599386246081,0.022526802668849003,False
22,11936,1.16,0.1943489342122768,4.864926692344996,0.9646356001659496,0,5,0,0.0648031312825139,0.7450870133375832,0.9300172833635204,0,5,0,4.119839679007413,0.12954580292976292,False
23,9470,1.162,0.4903272854166561,1.0358016089611222,0.6896431650119493,0,5,0,0.6635894396847828,0.7603002039802658,0.5172268088977797,0,5,0,0.2755014049808564,-0.1732621542681267,False
24,16444,1.167,0.1283958490032782,0.7990429741675794,0.8615586863570144,0,5,0,0.0805525644588515,0.2051126345059068,0.6970306715720971,0,5,0,0.5939303396616726,0.047843284544426684,False
25,12155,1.172,0.2603251461723035,1.5286552694851552,0.8714966601756345,0,5,0,0.0666042200430379,0.2566231558769926,0.7960029878138971,0,5,0,1.2720321136081627,0.1937209261292656,False
26,13083,1.18,0.1644194553779859,2.156622055384039,0.9234391746420572,0,5,0,0.1155355793928061,0.4075970673094441,0.7950770520273418,0,5,0,1.749024988074595,0.048883875985179806,False
27,12928,1.216,0.1131873827742307,0.3504361908342982,0.7958972207821631,0,5,0,0.0860378738365685,0.1281239656319421,0.5496381319023133,0,5,0,0.22231222520235613,0.0271495089376622,False
28,15342,1.256,0.073489256763527,0.6361342723533102,0.8964390923522672,0,5,0,0.0627265832546817,0.1315143294776301,0.7096394543372253,0,5,0,0.5046199428756801,0.0107626735088453,False
29,13936,1.286,0.333425300253058,7.463901823684378,0.9572385132811144,0,5,0,0.2317947408648816,1.8863213291324932,0.8661526945088838,0,5,0,5.577580494551885,0.10163055938817639,False
30,243,1.375,0.6229854091606767,3.4059625118217136,0.8371146297495925,0,5,0,0.1882189090228781,1.236909316564199,0.8023153390541516,0,5,0,2.169053195257515,0.4347665001377986,False
31,12361,1.375,0.4950244623163226,24.422070591181683,0.9782860541704508,0,5,0,0.3044328055313097,8.527214764807933,0.9544941355133923,0,5,0,15.89485582637375,0.1905916567850129,False
32,6134,1.385,0.2160099149599695,1.7658548076116216,0.8879829010116979,0,5,0,0.0535005787523034,0.326363738511265,0.8610145653670622,0,5,0,1.4394910691003566,0.16250933620766608,False
33,1951,1.426,0.132931040896194,0.7765388699629895,0.8394465089664799,0,5,0,0.0309205027356834,0.1666713311450216,0.8201207760999757,0,5,0,0.6098675388179678,0.10201053816051062,False
34,10023,1.444,0.1198631283925521,1.0910525553934702,0.892697879738464,0,5,0,0.0875234440504068,0.2643019527760686,0.7512304545382935,0,5,0,0.8267506026174016,0.032339684342145306,False
35,9457,1.458,0.2169623046911777,10.243670993501688,0.9708455242971672,0,5,0,0.9968420358438528,5.016437518805673,0.8140050679989871,0,5,0,5.227233474696015,-0.7798797311526751,False
36,2358,1.487,0.0707894131587489,0.1947841537746187,0.8410951062147275,1,5,1,0.0147858451246562,0.0537843816574312,0.7550196649879004,4,3,2,0.1409997721171875,0.0560035680340927,True
37,15340,1.516,0.1897869219235233,2.030922683731737,0.9145377128823092,0,5,0,0.071332211427563,0.5465085325495898,0.8922789045352394,0,5,0,1.4844141511821471,0.1184547104959603,False
38,7011,1.556,0.177253699291024,2.019007854790122,0.9192929917834026,0,5,0,0.0530332285481985,0.4651027739591297,0.9080036530385828,0,5,0,1.5539050808309924,0.1242204707428255,False
39,4943,1.563,0.1721723040837416,4.268370924430956,0.9596256196025644,0,5,0,0.0732826585434987,0.7998256500974776,0.9129981422672262,0,5,0,3.4685452743334784,0.09888964554024289,False
40,10139,1.595,0.2078754296906939,1.728226361343017,0.8969929490942438,0,5,0,0.0564301113368876,0.1890696442286979,0.7594205666096728,0,5,0,1.5391567171143192,0.15144531835380629,False
41,13689,1.6,0.1728981372218688,1.963378081414236,0.9387592904604078,0,5,0,0.0818300490358283,0.3416821223762216,0.7993131246511025,0,5,0,1.6216959590380144,0.09106808818604051,False
42,12306,1.611,0.477637350673916,11.834056067302752,0.9557369706255155,0,5,0,0.4094843327947612,3.255389104907017,0.8857165963296242,0,5,0,8.578666962395735,0.06815301787915479,False
43,14526,1.634,0.1179134920519971,1.302873640587542,0.937255796095564,0,5,0,0.1032404791665869,0.2812776665376806,0.7252421034401617,0,5,0,1.0215959740498615,0.014673012885410203,False
44,17733,1.645,0.3866634914504389,0.9461982313432656,0.7189386844510204,0,5,0,0.0916648850508885,0.2866499121375065,0.6723646684590602,0,5,0,0.6595483192057592,0.2949986063995504,False
